#共享	
OK	确定
UIBlacksmithTabRepair	修复
UIBlacksmithTabDecompose	拆解
UIBlacksmithTabReforge	重锻
UIBlacksmithTabSmelt	熔炼
UIBlacksmithFinalTitle	锻造成功
UIBlacksmithCosts	锻造费用：
UIBlacksmithDialog1	锻造所需费用为 {0} 文钱，您的金钱不足。
UIBlacksmithInventoryHint	装备中的物品必须先卸下至背包才会显示。
#淬炼界面	
UIQuenchError	此道具没有可淬炼的字段
UIQuenchConfirm	淬炼开始
UIQuenchBeforeTitle	持有的效果
UIQuenchAfterTitle	淬炼后效果
UIQuenchFinalTitle	淬炼成功
UIQuenchFinalBuff	附加效果
UIQuenchHoleCountTitle	可淬炼孔数
UIQuenchHoleCount1	{0}-{1}个
UIQuenchHoleCount2	{0}个
UIQuenchCosts	淬炼费用：
UIQuenchDialog1	淬炼所需费用为 {0} 文钱，您的金钱不足。
#修理界面	
UIRepairWearing	装备中
UIRepair0	总修理金额
UIRepair1	目前拥有金钱
UIRepair2	文钱
UIRepair3	修理
UIRepair4	修理全部
UIRepairDialog1	修理全部的装备需花费 {0} 文钱，是否要修理？
UIRepairDialog2	修理全部的装备需花费 {0} 文钱，您的金钱不足。
UIRepairDialog3	没有需要修理的装备。
#拆解界面	
UIDecompose0	总拆解金额
UIDecompose3	拆解
UIDecomposeDialog1	拆解全部的装备需花费 {0} 文钱，是否要拆解？
UIDecomposeDialog2	拆解全部的装备需花费 {0} 文钱，您的金钱不足。
UIDecomposeDialog3	没有选择要拆解的装备。
UIDecomposeResult	获得拆解道具
#重锻界面	
ReforgeType0	伤害至上
ReforgeType1	效果至上
ReforgeType2	平均成长
UIReforgeFinalTitle	重锻成功
UIReforgeNoReforge	此物品无法重新锻造
UIReforgeMaterialRequire	需求数量：
UIReforgeNotEnough	(数量不足)
UIReforgeNoMaterials	缺少强化所需要的材料！
UIReforgeStart	是否要以{0}的方式重新锻造？
UIReforgeChangeReforge	此武器已经重新锻造过了，确定要舍弃之前锻造的效果，来获得新的效果？
#熔炼界面	
UISmeltMaterialHintText	稀有度为{0}的{1}共{2}个
UISmeltConfirm	确认熔炼
UISmeltAutoFill	自动放入
UISmeltAutoReturn	全部取回
UISmeltNoMaterials	缺少熔炼所需要的材料！
#画面提示	
UIMouseHint	显示鼠标：{0}
#SkillTip	
SkillTipCondition	修练条件
SkillTipAffectedSkill	影响招式
SkillTipSkillAction	追加效果
SkillTipNeedWeapon	需装备
SkillTipNeedExp	经验
SkillTipNeedSkill	武学
SkillTipNeedTalent	感悟
SkillTipNotTalent	抵触
SkillTipNeedInventory	道具
SkillTipSwitchApCost	切换所需精力
SkillTipApCost	消耗精力
SkillTipManaCost	消耗内力
SkillTipSelector	攻击范围
SkillTipIsCounter	可反击
SkillTipAttack	基础伤害
SkillTipSingleRange	{0}
SkillTipMultiRange	{0}-{1}
SkillTipSelectorRange	有效距离
SkillTipBuffer	效果
SkillTipBuffer2	运行效果
SkillTipNeedInventoryValue	{0}{1}个
SkillTipNeedTypeTalentValue	{0}感悟{1}点
#成就界面	
UIAchievementRewardMsg	确定要领取奖励吗？
UIAchievementRewardTitle	奖励：
UIAchievementCanReward	(可领取奖励)
UIAchievementRewarded	(已完成)
UIAchievementProgressTitle	进度：
#战斗界面	
UIBattleGetInventory	获得道具
UIBattleGetSkill	可学习新技能
#战斗跳的讯息	
CaptureSuccess	驯服成功
CaptureFailure	驯服失败
CannotCapture	此目标无法驯服
PetRemoved	已达登场回合限制
#范围选择	
UnitSelector	单一
CircleSelector	区域
SegmentSelector	扇形
RectangleSelector	矩形
#阵营单位	
Affected0	队友
Affected1	我方
Affected2	敌方
#Mod模块	
CurrentMod	目前模块
ModUpload	上传模块
ModUploadCheck	是否要上传 {0} 模块？
ModUploading	模块 {0} 上传中…
ModUploadFinish	上传完成
ModUploadFailure	上传失败
ModUpdating	更新中…
ModApply	套用中
ModApplyCheck	是否要套用 {0} 模块？
IsRemoteMod	远程
#战斗	
CurrentTurn	回合{0}
BattleInfoApRecovery	每回合恢复精力
BattleInfoCountAttackSkill	反击技
Critical	暴击
Release	卸劲
Combo	连击
CounterAttack	反击
Trick	虚招
NoEquip	没有装备
MinorWeapon	(副手)
rate	率
value	值
KeepTurn	持续{0}回合
BeginUnitTalent	每回合累积{0} <color=#00ffff>{1} %</color>
AfterDamageTalent	每次受到攻击，累积{0} <color=#00ffff>{1} %</color>
CriticalEffect	爆击发动时，当次伤害增加 <color=#00ffff>{0} %</color>
ReleaseEffect	卸劲发动时，自身伤害减少 <color=#00ffff>{0} %</color>
ComboEffect	连击发动时，额外回复精力 <color=#00ffff>{0}</color> 点
CounterAttackEffect	反击发动时，以 <color=#00ffff>{0}</color> 回击敌人
TrickEffect	虚招发动时，对中招者随机附加一种负面状态 <color=#00ffff>{0}</color> 点
APRecovery	恢复精力
#异常状态TIP	
TipTurnLossHp	每回合失去气血<color=#00ffff>{0}</color>点
TipTurnLossMp	每回合失去内力<color=#00ffff>{0}</color>点
TipTurnLossAp	每回合精力恢复减少<color=#00ffff>{0}</color>点
TipAttackFall	攻击时伤害降低<color=#00ffff>{0}</color>%
TipIncreasedDamage	被攻击时伤害提高<color=#00ffff>{0}</color>%
TipAttackLossHp	攻击时会造成自身<color=#00ffff>{0}</color>点气血损失
TipBan	{0}无法发动、累计数值
TipZero	{0}数值归<color=#00ffff>0</color>
TipCramped	每一点精力所移动的距离减为{0}%
TipSealed	最大精力减少为<color=#00ffff>{0}</color>点
TipFrozen	{0}减少<color=#00ffff>{1}</color>点
TipDazed	每回合开始<color=#00ffff> {0} %</color>无法行动
#按键TIP	
TipWaiting	等待<br>消耗 {0} 点精力
TipChangeSkill	更换快捷
TipOpenInventory	开启背包<br>更换武器消耗 {0} 点精力<br>使用道具消耗 {1} 点精力
TipRest	结束行动
TipFinish	结束战斗
TipGameMenu	游戏选单
#战斗讯息	
MsgBeginBattle	战斗 {0} 开始
MsgEndBattle	战斗 {0} 结束
MsgBeginTurn	开始第 {0} 回合
MsgEndTurn	结束第 {0} 回合
MsgBeginUnit	{0} 开始行动
MsgEndUnit	{0} 结束行动
MsgCounterAttackNotFound	{0} 无反击技能
MsgCounterAttack	{0} 使用 {1} 反击
MsgCounterAttackFail	反击失败
MsgPleaseSelectAvaliableTarget	请选择有效目标
MsgUnavaliableBlinkPosition	无法闪现至此目标附近
MsgTargetTooFar	距离 {0} 太远
MsgUseSkill	{0} 使用了 {1} 技能
MsgUnitDead	{0} 死亡
MsgReduceDueTo	{0} 因 {1} 减少 {2} {3}
MsgAddDueTo	{0} 因 {1} 增加 {2} {3}
MsgAddProp	{0} {1} 增加 <color=#FFFF00>{2}</color>
MsgSubProp	{0} {1} 减少 <color=#FFFF00>{2}</color>
MsgUnitDeadDueToInjured	{0} 因内伤死亡
MsgRaiseComboAttack	{0} 发动连击，+{1} AP
MsgUnitDodge	{0} 闪过了此攻击
MsgResetRelease	{0} 卸劲归零
MsgReceiveDamage	{0} 对 {1} 造成了 <color=#FFFF00>{2}</color> 点伤害
MsgReceiveCriticalDamage	{0} 对 {1} 造成了 <color=#FFFF00>{2}</color> 点爆击伤害
MsgReceiveHeal	{0} 对 {1} 造成了 <color=#FFFF00>{2}</color> 点治疗
MsgResetCounterAttack	{0} 反击归零
MsgGainDebuffDueToTrick	{0} 因为虚招获得随机负面状态值
MsgGainProperty	{0} 获得状态值 {1} : {2}
MsgCurrentProperty	{0} 目前{1}：{2}
MsgAPNotEnough	精力不足
MsgMPNotEnough	内力不足
MsgLaunch	{0}
MsgHaveNot	{0} 无 {1}
#结局00	
Final00_00	梦幻泡影
Final00_01	伴随着播报员事不关己的嗓音，
Final00_02	冰冷的大屏幕像是重大新闻间的调剂消遣般，
Final00_03	临时插播了你的失踪报导，
Final00_04	没有人知道你消逝在了某个遥远的世界。
Final00_05	即便你的家人朋友多方奔走，
Final00_06	苦寻多年，却依旧没有你的消息。
Final00_07	日月飞梭，物换星移，
Final00_08	最终无可避免地，人们慢慢淡忘了你的存在，
Final00_09	所留下的，或许只有在提起你的名字时，
Final00_10	所发出的一声轻叹｜
#结局01	
Final01_00	似箭归心
Final01_01	一如每个美好故事的结尾，善有善果，恶有恶报，
Final01_02	即便是按照惯例，在最后自暗处向你伸出的恶意，
Final01_03	也无法阻挡你回家的决心。
Final01_04	这次的旅程，对你而言虽是一首意外的插曲，
Final01_05	却会在往后的将来时刻警醒着你，
Final01_06	怨天尤人，放弃眼前人生的下场，
Final01_07	最终将会是如何。
Final01_08	你摇了摇头，抛开了沉重的思绪，
Final01_09	对着在这趟旅程中与你一同奋战的朋友们，
Final01_10	露出微笑，挥手道别。
Final01_11	锦城虽云乐，不如早还家。
Final01_12	怀着一丝兴奋却又忐忑不安的心情，
Final01_13	你再度踏入了那既熟悉又陌生的圣堂之门。
Final01_14	这一次在前方等待着你的，
Final01_15	会是温暖的家，
Final01_16	抑或会是另一场新的冒险？
#结局 02	
Final02_00	白首之心
Final02_01	你一掌拍醒了眼前那个龟缩于虚幻，
Final02_02	不断逃避现实的老人。
Final02_03	他所追求的虚幻美好无法将他从悲惨的现实中解脱，
Final02_04	那是你拒绝屈从的未来，
Final02_05	也是一面你不能放手的镜子。
Final02_06	人生存在着美好，
Final02_07	但它永远都不会在轻言放弃的人们面前出现。
Final02_08	你要做的事只有一个，
Final02_09	就是将眼前的老人带回去，
Final02_10	重拾彼此为了美好人生而奋斗的决心。
Final02_11	回到家后，无论现实有多么苦涩，
Final02_12	你们都将勇敢向前，书写自己的人生！
Final02_13	谁道人生无再少？
Final02_14	门前流水尚能西！休将白发唱黄鸡。
#结局 03	
Final03_00	见性明心
Final03_01	天书齐心，所向披靡，
Final03_02	不过转瞬之间，蜀中高手尽皆败于你二人手下。
Final03_03	你冷眼扫过地上那些曾与你站在同一阵线的友人，
Final03_04	一具具七零八落的尸身，
Final03_05	无不在向你诉说着过往的愚昧。
Final03_06	是「你」告诉了自己，
Final03_07	不该再被愚蠢的仁义道德所限制，
Final03_08	让到手的力量从眼前溜走。
Final03_09	回首望向那陌生却又熟悉的「你」，彼此相视一笑，
Final03_10	今后，你俩将携手同行，
Final03_11	创造只属于「你」的理想未来。
Final03_12	在那一霎那，你更加确信自己选择了正确的道路。
Final03_13	正是：钱塘江上潮信来，今日方知我是我！
#结局 04	
Final04_00	狼子野心
Final04_01	有道是：九言劝醒迷途仕，一语惊醒梦中人。
Final04_02	那个倒在血泊中的「你」确实说对了一件事，
Final04_03	力量不该被白白浪费。
Final04_04	正因如此，它最应该被用以夺取更加强大的力量。
Final04_05	所谓的未来既然如此丑陋，何不让它就此被遗忘？
Final04_06	瞧着这片折枪断戟，尸山血海，
Final04_07	这就是你改造世界的力量。
Final04_08	你会用这份力量，将虚幻化为崭新的未来，
Final04_09	没有任何人能够阻挡你的欲望和企图。
Final04_10	那个潜藏在你心中的理想国度，
Final04_11	已是近在咫尺，唾手可得！
#结局 05	
Final05_00	苍山之麓
Final05_01	段思平与南诏诸族所组成的义军，
Final05_02	一路势如破竹，攻破南诏王都洱城，
Final05_03	杨天义仓皇出逃，不知所终。
Final05_04	而后段思平登基为帝，创立大理国，
Final05_05	致力改善南诏诸族的生活，
Final05_06	缔造了往后数百年立足滇南的强盛大国。
Final05_07	为感念金鼎禅师传功之恩，
Final05_08	段思平于城中修建天龙寺，命段家子孙世代供奉。
Final05_09	听闻何白芍死去的噩耗，
Final05_10	何玉蝶体认到过去所犯下的错误，
Final05_11	决定将领导箐寨的权力和重任下放给多名箐寨族人。
Final05_12	何紫菀在作为继任族长之余，
Final05_13	终于也有了追求自由的权力。
Final05_14	在她领导期间，箐寨作为支持大理国的中流砥柱，
Final05_15	持续繁荣昌盛，与大理国一同迈向了辉煌的未来。
Final05_16	二人自苍山远眺这个得来不易的成果，
Final05_17	遥想那位曾在旅程中扮演了重要角色的天外来客，
Final05_18	猜想着他如今会在何处？
Final05_19	今后又是否会有一同班荆道旧，剪烛西窗的一天？
#结局 06	
Final06_00	白马闲情
Final06_01	纷乱的世道依旧纷乱，白马居的人们却恍若无觉，
Final06_02	嘻笑劳作、日出日落。
Final06_03	漆笑儿乍然脱离师门，也曾惶惶无措，
Final06_04	白日里看似倔强，夜里暗自神伤。
Final06_05	所幸李叹对她悉心呵护，带着漆笑儿云游四海。
Final06_06	两人也曾偷回点苍师门留下书信，
Final06_07	跪请师父勿念勿挂。
Final06_08	最后回到白马居定居成婚，相伴一生。
#结局 07	
Final07_00	雪山神鹰
Final07_01	木府虽经历过一场政变浩劫，牺牲无数，
Final07_02	但却因此变得更加团结，不再有派系之争。
Final07_03	由木初所领导的木府，
Final07_04	为大研镇带来了一段安稳和平的日子。
Final07_05	阿得阿克则不忘理想，在将聚落安顿好之后，
Final07_06	便乘上船，渡过大泽，向东方游历而去。
Final07_07	数年后，大研镇便有了这样的传闻：
Final07_08	在遥远的东方武林，出现一名与鹰为伴的外地旅者，
Final07_09	以一手精湛箭术，剿灭贼窟，平定祸乱。
Final07_10	「雪山神鹰」之名，很快地传遍了整个武林。
Final07_11	几度寒暑，历经风霜的阿得阿克终于远行归来，
Final07_12	受到众镇民的热烈拥戴。
Final07_13	他将驯鹰的技艺传授予镇民与卫兵，
Final07_14	使大研镇成为了儒学与鹰猎传统交融的美丽城镇。
Final07_15	日后，每次来到木奎的坟前，阿得阿克总不禁遥想，
Final07_16	那名曾经一同并肩作战的天外来客，
Final07_17	现在又到了什么地方？
Final07_18	也许今后再无相见之日，但共同经历过的那段旅程，
Final07_19	阿得阿克却是未曾遗忘。
#结局 08	
Final08_00	曲终奏雅
Final08_01	江湖起落，俏梦阁却总能在各方势力间巧妙沉浮，
Final08_02	樊香蝶带着姐妹渡过一次又一次的难关与各方觊觎，
Final08_03	并在苏清瑞的财力支持下，
Final08_04	进一步将情报范围扩及整个西川。
Final08_05	苏清瑞在经过景泰然事件后，
Final08_06	痛定思痛重振苏府，
Final08_07	并广纳贤德才士悉心经营势力，
Final08_08	依靠俏梦阁的情报网络，
Final08_09	调动人马支持西川各方正道，
Final08_10	终于成为江湖上一经提起，
Final08_11	便人人竖起拇指大声叫好的小孟尝、苏大侠。
#结局 09	
Final09_00	动如参商
Final09_01	赋闲书院的惨案发生后，院中的藏书毁于一旦，
Final09_02	无数珍贵的武学秘籍就此失落。
Final09_03	但没了锦衣卫的暗地挑拨，
Final09_04	江湖上的腥风血雨总算是少了那么一点。
Final09_05	数月之后，一名剑法精奇的神秘女剑客横空出世，
Final09_06	这名女剑客踽踽独行，一路向北，
Final09_07	一手妙到巅毫的剑法，天下无人能敌。
Final09_08	每当被人问起她旅途的目的，
Final09_09	她只是笑而不语。
Final09_10	但就在她声名达到巅峰之际，
Final09_11	她却消失在长城之外，从此不现踪迹。
Final09_12	数十年后，江湖仍流传着那名如流星般出世，
Final09_13	亦如流星般消失的女剑客的故事。
Final09_14	瞭望着母亲出生的广阔草原，
Final09_15	颜玉书终于了却心中的一桩心愿。
Final09_16	接下来，她想要看看这个世界，
Final09_17	也许在某个地方，会有另一扇圣堂之门，
Final09_18	能够通往他所在的那个地方。
#结局 10	
Final10_00	月落星沉
Final10_01	争夺天书的风波结束后，
Final10_02	颜玉书与东方迟悄然离开了赋闲书院。
Final10_03	皇帝朱元璜虽曾派人搜寻，但却总是一无所获。
Final10_04	数月之后，一名剑法精奇的神秘女剑客横空出世，
Final10_05	这名女剑客踽踽独行，一路向北，
Final10_06	一手妙到巅毫的剑法，天下无人能敌。
Final10_07	每当被人问起她旅途的目的，
Final10_08	她只是笑而不语。
Final10_09	但就在她声名达到巅峰之际，
Final10_10	她却消失在长城之外，从此不现踪迹。
Final10_11	数十年后，江湖仍流传着那名如流星般出世，
Final10_12	亦如流星般消失的女剑客的故事。
Final10_13	瞭望着母亲出生的广阔草原，
Final10_14	颜玉书终于了却心中的一桩心愿。
Final10_15	如今，她的脑海中只剩下一个念头。
Final10_16	来世，是否能有再见的一天？
#结局 11	
Final11_00	倚鞍思骏
Final11_01	对于禾泓渊的死，禾郁青极为自责，
Final11_02	也因此她收起了以往的蛮横任性，
Final11_03	带领着禾家马帮，
Final11_04	一次又一次地对抗穷山恶水与山贼的侵袭。
Final11_05	虽然禾家马帮不再一枝独秀，
Final11_06	但禾郁青凭借着精湛的刀法与坚韧的性格，
Final11_07	仍然成为天南武林中最令人崇敬的马锅头。
Final11_08	禾郁青始终将守护禾家马帮视为自身的责任，
Final11_09	然而老一辈的帮众时常这样说着，
Final11_10	「阿郁不再是以前的阿郁了。」
Final11_11	年轻的帮众始终不知道这是甚么意思，
Final11_12	或许连禾郁青自己也不知道。
Final11_13	她深遂眼眸中闪烁着落寞，
Final11_14	是因为肩上的责任过于沉重？对父亲的死感到愧疚？
Final11_15	又或者，在她内心深处，其实还藏着其它的想望？
#结局 12	
Final12_00	逐日之影
Final12_01	黄裳竭尽全力，
Final12_02	仍旧未能拦下那个纵放祸首的天外来客，
Final12_03	他只能眼睁睁的看着他进入圣堂之门，
Final12_04	消失于虚空之中。
Final12_05	改过自新？行善赎罪？
Final12_06	在那个自负侠义的天外来客吐出那些伪善之词，
Final12_07	践踏他逝去妻儿尊严的同时，
Final12_08	便也成了他黄裳的仇人之一。
Final12_09	日复一日，年复一年，
Final12_10	不论河洛一族如何苦心开导，他也不曾有丝毫软化，
Final12_11	他杀光了当年不赦楼的余孽，
Final12_12	启程追寻早已转移显现地点的圣堂。
Final12_13	不论那名天外来客逃到何处，
Final12_14	为了他逝去妻儿的冤苦，
Final12_15	也为了他难以平息的复仇之火，
Final12_16	只要他还存着一口气，
Final12_17	必将如影随形，杀之后快。
#结局 13	
Final13_00	济世药王
Final13_01	程雁华与杜晋鹏恩断义绝，
Final13_02	带着女儿隐居藏花草棚，
Final13_03	帮助陈之济医治贫苦百姓。
Final13_04	不过程雁华心如止水，不愿再生波澜，
Final13_05	因此对外之事遂由陈之济一力担下，
Final13_06	久之，程娘子名号逐渐淡出世人目光。
Final13_07	绯绯聪明好学，跟着陈之济学习医毒之术，
Final13_08	领悟较其母更胜十分，
Final13_09	并在陈之济过世后，继其衣钵，
Final13_10	成为新一代药王传人。
Final13_11	石鸿图经此一役，暂时匿迹江湖，
Final13_12	等待适当时机，再次出手。
#结局 14	
Final14_00	辣手毒心
Final14_01	在冯秋香的暗中运作下，程雁华最终横死杜府。
Final14_02	杜晋鹏悲恨难平，却又不敢作声，
Final14_03	将怒火一股脑儿发泄在藏花草棚。
Final14_04	石鸿图始终未能寻药王神篇，
Final14_05	性情益发暴虐，毒王之名不胫而走。
Final14_06	杜玉绯却于母亲过世后继承药王神篇，
Final14_07	忍辱两年，最终使计毒杀了杜家满门。
Final14_08	十年之后，
Final14_09	原藏花草棚之地多出了一亩小小的花田，
Final14_10	药王之名再度崛起。
#结局 15	
Final15_00	再造天伦
Final15_01	回顾过去，司徒荆一生坎坷，
Final15_02	幼年入宫受尽欺压，
Final15_03	被赶出宫后，又因阉人之身受尽轻视。
Final15_04	刻苦修习毒功，终日心念报仇，愤恨无一日安宁。
Final15_05	在经历酒庄的当头棒喝后，
Final15_06	痛定思痛，于酒庄留下小容秀后离去。
Final15_07	一世富贵陈老太爷见容秀聪明善良，
Final15_08	在明白孙子陈志淇志在云游，无意继承酒庄后，
Final15_09	将一身酿酒技术悉数传与容秀，
Final15_10	并在寿终之日立下酒庄传贤不传族的规矩，
Final15_11	打破一世富贵由陈家子弟把持的陋规，
Final15_12	将酒庄传给晏容秀继承。
Final15_13	容秀成年后，几经寻访，
Final15_14	终于找到隐居的司徒荆，
Final15_15	将其接至酒庄近郊定居，
Final15_16	日日请安，孝奉身侧，颐养天年。
#结局 16	
Final16_00	万劫不复
Final16_01	司徒荆带着晏容秀浪迹天涯，
Final16_02	并将一身邪派武功尽数传与容秀，
Final16_03	当年曾经参与击杀晏葆川的杀手被一一找出，
Final16_04	并以尸蛇毒血功凌迟虐杀。
Final16_05	晏容秀耳濡目染，成年之后成为邪道高手，
Final16_06	烧杀掳掠，江湖中人人闻之色变。
Final16_07	回顾过去，司徒荆一生坎坷，
Final16_08	幼年入宫受尽欺压，被赶出宫后又因阉人之身受尽凌辱，
Final16_09	习得邪派功法后，终日心念报仇，
Final16_10	愤恨无一日安宁，
Final16_11	因年轻之时心急练功，
Final16_12	而巧取旁门左道方法强练尸蛇毒血功，
Final16_13	最终遭到功法反噬，死时内脏溃烂，
Final16_14	呻吟七七四十九天后，
Final16_15	于西川一处僻巷民宅中断气。
#结局 17	
Final17_00	大道丹心
Final17_01	在战胤飞引起的动荡之下，
Final17_02	王喆眼见义兄李彦仙、义姐白露霜
Final17_03	为了阻饶不赦楼而双双牺牲。
Final17_04	哀痛之余，他下定决心继承义兄遗志，
Final17_05	一生抵御外患、保家卫国。
Final17_06	重登擎天以后，王喆接下寨主之位，
Final17_07	率领擎天寨众力抗狼蛮。
Final17_08	在领军跋涉途中，
Final17_09	王喆又几度遇上了在卧龙村结识的道人纯阳子，
Final17_10	每次相遇，纯阳子必从旁点拨，
Final17_11	引导王喆领悟「太清罡气」中的道学深意，
Final17_12	王喆在武学与道学资质皆高，
Final17_13	虽心系国事、投身军旅，在年近知命之时，
Final17_14	仍悟得「太清罡气」最深一层绝学，
Final17_15	数年后创立全真教派，开创绝世武学，
Final17_16	被世人尊为「重阳真人」。
Final17_17	然而每次听闻外敌进犯，
Final17_18	王喆总会想起义兄死前的一番话，
Final17_19	想起义兄保卫家国，置个人死生于度外的胸襟气度。
#结局 18	
Final18_00	停云落月
Final18_01	在蜀中波澜壮阔的历险结束后，
Final18_02	张君宝先后挥别了两名友人，
Final18_03	再次踏上了云游天下的旅途。
Final18_04	当年信誓旦旦说着会再相见的三人从此天各一方。
Final18_05	三十年前，蜀中大疫，
Final18_06	张三丰一路由中原赶至西川，
Final18_07	恰恰来得及见上老友最后一面。
Final18_08	如今他也已年近百岁，虽说一身精纯内功已臻化境，
Final18_09	但是近年来也渐渐有了力不从心之感。
Final18_10	这一夜，张三丰独自坐在房中，忽然心有所感，
Final18_11	向着天外来客当年离开的圣堂远眺
Final18_12	「你这家伙，再不来｜老朋友可不等你了啊。」
#结局 19	
Final19_00	幽冥暗鬼
Final19_01	自从那日将那人打落那无名深谷中后，
Final19_02	百损道姑的心里就有根刺｜
Final19_03	她没听见那人落地的声音。
Final19_04	好几次夜里，她彷佛又回到了那万丈深谷边，
Final19_05	看着那张爽朗的令人讨厌的脸消失在视线范围。
Final19_06	但不论她多么地专注，多么地仔细，
Final19_07	她还是没能听见那梦寐以求的，美妙的坠地声。
Final19_08	唯有枯谷中呼啸的风声，哑哑地嘲笑着她。
Final19_09	为了拔掉心里的那根刺，数年来她拼命修练武功，
Final19_10	将师门的武学提高到了前人无法想象的境界。
Final19_11	新收的两个徒弟一个劲地逢迎拍马，
Final19_12	但她自己知道，那人是真正的武学天才，
Final19_13	她不会有胜过他的一天。
Final19_14	最近耳边的风声越来越清晰了，那分明是他的声音。
Final19_15	「我会来找你的。」
#结局 20	
Final20_00	鹊桥星辉
Final20_01	那日她在圣堂奋不顾身的一跃，
Final20_02	永远的改变了你的人生。
Final20_03	终于也轮到了你，
Final20_04	体会平淡的生活被天外来客搅得一团乱的滋味。
Final20_05	一个没有身分的异界女子，在这里日日都是冒险。
Final20_06	一个重返现实的失踪人口，再也过不上平凡的人生。
Final20_07	尽管如此，她也是你那段异世界历险的唯一证明，
Final20_08	经过那些仗剑江湖的奇异日子，
Final20_09	武侠世界早已成了你另一个家乡。
Final20_10	每当你回想到那些刻骨铭心的时刻，
Final20_11	亦或是惦念起着曾经同生共死的某人。
Final20_12	以为电话与计算机是某种妖法邪术的她，
Final20_13	成了你可以任意倾诉的唯一对象。
Final20_14	每天一早，当你又听到她的惊呼声，
Final20_15	伴随着某种电器用品失控的噪音传来，
Final20_16	你就知道，天外来客的故事还没有结束。
#结局 21	
Final21_00	天生我材
Final21_01	你带着他走出拱石村，
Final21_02	藉由一路的冒险，展现了江湖充满情义的一面。
Final21_03	看着你充满活力的笑容，
Final21_04	骆元玉暗自下定决心，
Final21_05	要成为一个和你一样的人。
Final21_06	善于和人打交道的他，
Final21_07	很快的聚集了一群看似无用的乞丐，
Final21_08	以乞丐寮为据点，经营起自己的事业｜
#结局 22	
Final22_00	兔死狗烹
Final22_01	你带着他走出拱石村，藉由一路的冒险，
Final22_02	他也逐渐成长、强大。
Final22_03	可随你征战天下多年，原本以为功成名就的他，
Final22_04	最后竟遭到不愿分权的你，翻脸无情的追杀。
Final22_05	心狠手辣、权变时宜，成为他人生的座右铭。
Final22_06	善于和人打交道的他，很快的东山再起，
Final22_07	聚集了一群看似无用的乞丐，
Final22_08	以乞丐寮为据点，经营起自己的事业｜
#结局 23	
Final23_00	温语凝眸
Final23_01	原本我会一辈子待在太华门，
Final23_02	不明白外面的世界，
Final23_03	不知道祖父母的故事，
Final23_04	不认识｜你，
Final23_05	不过好在我们相遇了。
Final23_06	大哥，谢谢你，我会好好的。
Final23_07	你也是｜
#结局 24	
Final24_00	江山美人
Final24_01	红颜祸水？倾国倾城？
Final24_02	面对部下对你的进言，
Final24_03	你一笑置之，全无顾忌地，
Final24_04	将身旁巧笑倩兮的美人们搂入怀中。
Final24_05	彻底掌控天下的你回想起了那一刻，
Final24_06	当时选择站在你身边的她们，
Final24_07	渴求着长远的归属和依靠，
Final24_08	那是另一个坚守正道，
Final24_09	一心只想着回家的自己所无法给予的东西。
Final24_10	所以你做了决定，你会满足她们，
Final24_11	给她们一个不再孤独的未来。
Final24_12	但到了今日，
Final24_13	她们在你心中的真正地位又是如何呢？
Final24_14	扪心自问，你总算是明白了，
Final24_15	她们终究只是你尊贵身分的消遣，
Final24_16	陪伴、宠幸，
Final24_17	那都是作为主宰的你所赐予的恩典，
Final24_18	你的伴侣从来不是甚么美人，
Final24_19	而是这如画江山，无上权力。
#自宫	
cutyourself	修练残花宝鉴
cutyourself02	修练这门武功必须自宫，请问您是否要继续修练？
