#ID	分类	Icon路径	细项标题	细项说明文字
h70206	702	Main/Img_Main_Money.png	优惠	若玩家与铁匠的友好度很高，且完成对应的成就，铁匠会提供玩家费用上的折扣，不需要套用任何称号即可享有。
h70301	703	Blacksmith/Img_Forged_fix.png	修理	村庄中的铁匠可以协助玩家修缮磨损的武器，过度磨损的武器与装备，会使该道具的能力无法完全发挥，必须进行修理来恢复。
h70302	703	Main/Img_Main_Money.png	修理费用	铁匠会向玩家收取修理的费用，修理稀有度越高的武器与防具，费用也会跟着提高。
h70303	703	Main/Img_Main_Money.png	优惠	若玩家与铁匠的友好度很高，且完成对应的成就，铁匠会提供玩家费用上的折扣，不需要套用任何称号即可享有。
h70401	704	Blacksmith/Img_Forged_Decompose.png	拆解	村庄中的铁匠可以协助玩家拆解不需要的武器与防具，缺少锻造素材的玩家，在贩卖装备的同时，不妨可以考虑交给铁匠拆解。
h70402	704	TeamInventory/Btn_bag_06.png	材料返还	道具被拆解后可以返还少量的素材，不同的武器与装备，返还的锻造素材与数量也不相同。
h70403	704	Main/Img_Main_Money.png	拆解费用	铁匠会向玩家收取拆解武器与装备的费用，拆解稀有度越高的武器与防具，费用也会跟着提高。
h70404	704	Main/Img_Main_Money.png	优惠	若玩家与铁匠的友好度很高，且完成对应的成就，铁匠会提供玩家费用上的折扣，不需要套用任何称号即可享有。
h70501	705	Blacksmith/Img_Forged_Reforge.png	重锻	重锻是对特殊武器进行改造，并非所有的武器都可以进行重锻，玩家可以找到村庄中的铁匠协助，但必须提供相对应的材料方可进行。
h70502	705	Blacksmith/Img_Forged_Reforge.png	重锻方式	重新锻造可以将特殊兵器进行改造，玩家可以选择高伤害、高效果或是平均成长，借着不同的重锻方式可以打造更具特色的兵器。
h70503	705	Blacksmith/Img_Reforge_HurtUp.png	伤害至上	伤害至上的重锻方式能使兵器的伤害大幅度提升，偏好高输出的玩家可以选择此方式。
h70504	705	Blacksmith/Img_Reforge_BuffUp.png	效果至上	效果至上的重锻方式注重兵器的特殊效果，比起高伤害，效果至上让战斗打得更加多元。
h70505	705	Blacksmith/Img_Reforge_AverageUp.png	平均成长	平均成长的重锻方式兼顾伤害与特殊效果，属于较均衡的成长方式。
h70506	705	Main/Img_Main_Money.png	重锻费用	重锻不需收取金钱费用，但须提供相对应的材料，不同兵器与不同重锻方式所需求的材料也不相同。
h80101	801	Blacksmith/Img_Forged_01.png	拳套	拳套为近战武器，装备拳套可以使搏击类武学更加强劲。
h80102	801	Blacksmith/Img_Forged_02.png	剑	剑为近战武器，装备剑可以施展剑法相关的武学招式，若双持两把剑，还能够施放独特的双剑技能。
h80103	801	Blacksmith/Img_Forged_03.png	刀	刀为近战武器，装备刀可以施展刀法相关的武学招式，若双持两把刀，还能够施展独特的双刀技能。
h80104	801	Blacksmith/Img_Forged_04.png	枪/棍	枪/棍为近战长柄武器，枪/棍比起其他近战武器来说，在攻击距离上稍占优势，装备枪/棍可以施展枪/棍相关的武学招式。
h80105	801	Blacksmith/Img_Forged_06.png	暗器	暗器为远程武器，装备暗器可以在中远程距离攻击敌人，不过对贴身攻击的敌人比较没辙。
h80106	801	Blacksmith/Img_Forged_06.png	弓	弓为远程武器，装备弓可以使施展弓术武学，不过对贴身攻击的敌人比较没辙。。
h80107	801	Blacksmith/Img_Forged_05.png	短兵	短兵为近战武器，轻巧的短兵在伤害上也不亚于其他兵器。
h80108	801	TeamInventory/Btn_bag_02.png	特殊兵器	在开放世界中玩家还能取得其他各式各样的兵器，例如烟斗、钓竿、长鞭等等。
h80201	802	TeamInventory/Btn_bag_18.png	护甲	能提供角色在战斗中减伤与特殊效果的装备。
h80202	802	TeamInventory/Btn_bag_19.png	饰品	能带来各种特殊效果的装饰物。
h80203	802	TeamInventory/Btn_bag_20.png	外衣	能改变主角外观的特殊服饰，有些对应阵营的服饰能触发特殊的事件或效果。
h80301	803	TeamInventory/Btn_bag_10.png	丹药	可以提供玩家在游戏中恢复状态的各种药品，除了在战斗后或任务中获得外，学习某些医书后也可以自行制作这些丹药，需要消耗基础的药材。
h80302	803	TeamInventory/Btn_bag_11.png	药材	在任务、战斗与野外采集中都可以获得基础的药材，直接使用也有些许的疗效。
h80303	803	TeamInventory/Btn_bag_12.png	食物	可以提供玩家在游戏中得到各种优势的食品，除了在战斗后或任务中获得外，学习某些食谱后也可以自行制作这些食物，需要消耗基础的食材，此外，每位队友都有自己喜欢与否的食物，给他们食用将会带来更多的乐趣与事件。
h80304	803	TeamInventory/Btn_bag_13.png	食材	在任务、战斗与野外采集中都可以获得基础的食材，为烹饪所需的材料，也可以跟一些商人购买到。
h80401	804	TeamInventory/Btn_bag_14.png	毒虫	可以拿来炼毒的基础素材，但在没有学会相对技能前，贸然捕捉这些毒虫将会让自己受到毒伤的侵袭。
h80402	804	TeamInventory/Btn_bag_05.png	毒物	将毒虫经过炼制之后获得的产物，无法直接使用，不过有些邪门的武学可能会需要使用这些东西。
h80501	805	TeamInventory/Btn_bag_15.png	锻造材料-矿物	在山边与洞穴中常见的锻造素材，一些神秘或人烟罕至的地方偶尔也会出现稀有珍贵的矿石。
h80502	805	TeamInventory/Btn_bag_15.png	锻造材料-木头	可以在野外采集到的锻造材料，也可以跟一些樵夫购买。
h80503	805	TeamInventory/Btn_bag_17.png	锻造材料-皮革	藉由击败野兽类型的敌人可以获得的素材，也可以跟毛皮店老板购买。
h80504	805	TeamInventory/Btn_bag_17.png	锻造材料-丝	一种极为珍贵的锻造材料，大多只能由宝箱或事件任务中获得。
h80505	805	TeamInventory/Btn_bag_17.png	锻造材料-筋	藉由击败野兽类型的敌人可以获得的珍贵素材。
h80506	805	TeamInventory/Btn_bag_16.png	淬炼材料	能让带有淬炼孔数的武器附加上特别效果的珍贵物资。
h80601	806	TeamInventory/Btn_bag_21.png	任务物品	任务进行所需要的道具。
h80602	806	TeamInventory/Btn_bag_22.png	杂货	玩家在进行游戏中所取得的各式各样物品，有些杂货商人或当铺老板会收购这些东西。
