#ID	分类	Icon路径	Line headings	Line item explanatory text
h70303	703	Main/Img_Main_Money.png	Preferences	The Blacksmith will offer a discount on player fees if the player is friendly with the Blacksmith and completes the corresponding achievement, No title needs to be applied to enjoy it.
h70401	704	Blacksmith/Img_Forged_Decompose.png	Disassembly	Blacksmiths in the villages can assist players in dismantling unwanted weapons and defense equipment. While selling equipment, you may want to consider handing it over to a blacksmith for dismantling.
h70402	704	TeamInventory/Btn_bag_06.png	Return of materials	Items are disassembled and can return a small amount of material, different weapons and equipment, the return of the forging material and quantity also! Not the same.
h70403	704	Main/Img_Main_Money.png	Cost of dismantling	The Blacksmith will charge players a fee to disassemble weapons and equipment, the higher the rarity of the weapons and defense equipment, the more expensive it is. Will follow to improve.
h70404	704	Main/Img_Main_Money.png	Preferences	The Blacksmith will offer a discount on player fees if the player is friendly with the Blacksmith and completes the corresponding achievement, No title needs to be applied to enjoy it.
h70501	705	Blacksmith/Img_Forged_Reforge.png	Heavy Forging	Forging is the modification of special weapons, not all weapons can be forged, players can find villages The blacksmiths in the forging process will assist, but only if the appropriate materials are provided.
h70502	705	Blacksmith/Img_Forged_Reforge.png	Re-forging method	Reforging can be done with special weaponry, and the player can choose between high damage, high effect or average growth, You can create more distinctive weapons by using different re-forging methods.
h70503	705	Blacksmith/Img_Reforge_HurtUp.png	Damage is paramount.	If you prefer high output, you can choose this method to increase the damage of your weapons.
h70504	705	Blacksmith/Img_Reforge_BuffUp.png	Effectiveness first	The effect-oriented re-forging method focuses on the special effect of the weapon, which makes the battle more effective than the high damage. Diversity.
h70505	705	Blacksmith/Img_Reforge_AverageUp.png	average growth	The average growth of the Forge method is a more balanced growth method that takes into account both damage and special effects.
h70506	705	Main/Img_Main_Money.png	Heavy Forging Cost	There is no monetary cost for re-forging, but there is a corresponding material requirement for different weapons and different methods of re-forging. The material varies.
h80101	801	Blacksmith/Img_Forged_01.png	Boxing gloves	Gloves are melee weapons, equipped with gloves can make fist martial arts more powerful.
h80102	801	Blacksmith/Img_Forged_02.png	Sword	Sword is a melee weapon, you can perform martial arts moves related to swordsmanship by equipping a sword, and you can also use it if you hold two swords. Unique dual sword skills.
h80103	801	Blacksmith/Img_Forged_03.png	Knife	Knives are melee weapons, so you can perform martial arts moves related to swordplay with them. Unique dual blade skill.
h80104	801	Blacksmith/Img_Forged_04.png	Spear	Spears/Sticks are long-handled melee weapons, with a slight advantage in attack range over other melee weapons, Equipping a spear/stick allows you to perform spear/stick related martial arts moves.
h80105	801	Blacksmith/Img_Forged_06.png	Dark Weapon.	Dark Weapon is a long-range weapon, and can be used to attack enemies at medium to long range, but can be used against enemies who are close to you. Comparatively rudderless.
h80106	801	Blacksmith/Img_Forged_06.png	Bow.	The bow is a long-range weapon, you can use it to perform archery martial arts, but it's useless against enemies who are close to you.
h80107	801	Blacksmith/Img_Forged_05.png	Short Arms	Daggers are melee weapons, and light daggers do as much damage as any other weapon.
h80108	801	TeamInventory/Btn_bag_02.png	Special Weapons	In the open world, players can also acquire various other weapons, such as pipes, fishing rods, whips and so on.
h80201	802	TeamInventory/Btn_bag_18.png	Armor	Equipment that provides the character with damage reduction and special effects in battle.
h80202	802	TeamInventory/Btn_bag_19.png	Accessories	Adornments that bring a variety of special effects.
h80203	802	TeamInventory/Btn_bag_20.png	Outer garments	Special costumes that can change the appearance of the main character, some of the costumes of the corresponding camp can trigger special events or effects.
h80301	803	TeamInventory/Btn_bag_10.png	Pills	Various medicines that can be used to restore the player's condition in the game, in addition to those that can be obtained after battle or during quests. You can also make these pills after some medical books, but they require basic herbs.
h80302	803	TeamInventory/Btn_bag_11.png	Medicinal Herbs	Basic herbs can be obtained in quests, battles and field collection, and direct use also has a slight healing effect.
h80303	803	TeamInventory/Btn_bag_12.png	Food	Foodstuffs that can provide players with various advantages in the game, in addition to those obtained after battle or during quests, learning After certain recipes, you can also make your own food, consuming the basic ingredients, and each teammate has his or her own favorite. Food for them to eat will bring more fun and events.
h80304	803	TeamInventory/Btn_bag_13.png	Ingredients	In quests, battles, and field gathering, you can obtain basic ingredients for cooking, and you can also use the same ingredients as the Some merchants purchase them.
h80401	804	TeamInventory/Btn_bag_14.png	Vipers.	can be used as a base for poisoning, but catching them before learning the relative skills will make the Himself attacked by a poisonous wound.
h80402	804	TeamInventory/Btn_bag_05.png	Poison.	Products obtained by refining the Poisonous Insects, cannot be used directly, but may be needed for some evil martial arts. Use these things.
h80501	805	TeamInventory/Btn_bag_15.png	Forging Materials - Minerals	Common forge material in mountainsides and caves, and occasionally rare in mysterious or inaccessible places. Precious Ore.
h80502	805	TeamInventory/Btn_bag_15.png	Forging Materials - Wood	Forging materials that can be collected in the wild, or bought from woodcutters.
h80503	805	TeamInventory/Btn_bag_17.png	Forging Materials - Leather	The materials that can be obtained by defeating beast type enemies can also be purchased from fur shop owners.
h80504	805	TeamInventory/Btn_bag_17.png	Forging Materials - Silk	An extremely valuable forging material, mostly only available from treasure chests or event quests.
h80505	805	TeamInventory/Btn_bag_17.png	Forging Material - Tendons	Precious materials that can be obtained by defeating beast-type enemies.
h80506	805	TeamInventory/Btn_bag_16.png	Hardening materials	Precious goods that can attach special effects to weapons with the number of hardening holes.
h80601	806	TeamInventory/Btn_bag_21.png	Quest Items	Items needed for the mission to proceed.
h80602	806	TeamInventory/Btn_bag_22.png	Groceries.	A variety of items that the player acquires while playing the game. Stuff.
