#共享	
OK	Confirmed
UIStoreChange	Agreed on the exchange
#技能界面(武学)	
UISkillBookExp	Experience Points
UISkillRemovebook	Remove
UISkillBookExpert	Masterful
UISkillLearnSkill	Practice martial arts
UISkillLearningBook	Practice
UISkillWorkingSkill	Run
UISkillPropertyTitle	Attributes
UISkillTreeNodeState1	Practicing/Training
UISkillTreeNodeState2	Running
UISkillTreeNodeState3	Counterattack in Progress
UISkillNodeClickDialog	Learning {0} will consume {1} skill experience points
UISkillConfirmButton	Apply skill configuration
UISkillUseNeigongButton	Conduct Neigong
UISkillLearnedSkill	Has trained martial arts
UISkillCounterSkill	Equippable Counterattack Techniques
UISkillNeigongSkill	Operable internal skill
UISkillInventoryFilterButton	Screening
UISkillInventoryFilter	Mysterious Manual Displays Classification
UISKillInventoryAllChoose	Select All
UISkillExpDistributeTip1	Experience points gained will be distributed to the grimoires according to a set ratio. If the ratio is increased, characters will receive fewer growth experience points, but more experience points for the grimoires
UISkillExpDistributeTip2	(Effect applied to all teammates)
UISkillTransfer	Transform Secret Manual Experience
UISkillTransferExp	Do you want to convert the {0} points of secret manual experience into character experience?
UISkillTransferNoExp	This manual has no experience points that can be converted
#天赋接口(感悟接口)	
UITalentConfirmButton	Apply talent configuration
UITalentNodeClickDialog	Pursuing mastery in {0} will consume {1} points of insight
TalentTipNeedPoint	Realization and Insight Points
TalentTipPCondition	Required Attributes
TalentTipTCondition	Needs insight
TalentTipBuffer	Insight into Special Effects
#追踪的任务接口	
UITrackedQuestTitle	There are no current tracking tasks
#称号界面	
UINicknameTitle1	Titles
UINicknameTitle2	Titles Description
UINicknameTitle3	Equipment Effects
UINicknameNotEffect	No effect
UINicknameConfirm	Equipment Title
UINicknameEquipping	Equip Selected
#锻造界面	
UIBlacksmithTabForge	Forging
UIBlacksmithTabQuench	Tempering
UIBlacksmithTabRepair	Repair
UIBlacksmithTabDecompose	Disassemble
UIBlacksmithTabReforge	Reforge
UIBlacksmithTabSmelt	Smelting
UIBlacksmithFinalTitle	Forging Succeeded
UIBlacksmithCosts	Forging cost:
UIBlacksmithDialog1	The cost to forge is {0} wen. You do not have enough money
UIBlacksmithInventoryHint	Items in the equipment must be removed to the inventory before they will appear
#淬炼界面	
UIQuenchError	This item has no tempering field
UIQuenchConfirm	Quilian kaishi
UIQuenchBeforeTitle	Effect when possessed
UIQuenchAfterTitle	Effects after tempering
UIQuenchFinalTitle	Tempering successful
UIQuenchFinalBuff	Additional effects
UIQuenchHoleCountTitle	How many holes can it temper?
UIQuenchHoleCount1	{0}-{1} people
UIQuenchHoleCount2	{0} items
UIQuenchCosts	Tempering cost:
UIQuenchDialog1	The cost for tempering is {0} wen. You do not have enough money
#修理界面	
UIRepairWearing	Equipment
UIRepair0	Total Repair Cost
UIRepair1	Currently possessing money
UIRepair2	Money
UIRepair3	Repair
UIRepair4	Repair all
UIRepairDialog1	Repairing all the equipment will cost {0} wen. Do you want to repair?
UIRepairDialog2	Repairing all the equipment will cost {0} wen. You do not have enough money
UIRepairDialog3	No equipment needs repair
#拆解界面	
UIDecompose0	Total Disassembly Amount
UIDecompose3	Disassemble
UIDecomposeDialog1	Disassemble all the equipment for a cost of {0} wen. Do you want to disassemble?
UIDecomposeDialog2	Disassembling all the equipment will cost {0} wen. You do not have enough money
UIDecomposeDialog3	There are no equipment to be disassembled
UIDecomposeResult	Obtain disassembly tool
#重锻界面	
ReforgeType0	Damage above all else
ReforgeType1	Results above all
ReforgeType2	Average Growth
UIReforgeFinalTitle	Re-smelting successful
UIReforgeNoReforge	This item cannot be reforged
UIReforgeMaterialRequire	Quanity Required:
UIReforgeNotEnough	(Insufficient quantity)
UIReforgeNoMaterials	'Missing the materials needed for reinforcement!'
UIReforgeStart	Shall we reforged it in the {0} manner?
UIReforgeChangeReforge	This weapon has already been reforged. Are you sure you want to sacrifice the previous forging effect to gain a new one?
#熔炼界面	
UISmeltMaterialHintText	The rarity of {0} is shared among {2} pieces of {1}
UISmeltConfirm	Confirm smelting
UISmeltAutoFill	Automatically enter
UISmeltAutoReturn	Retrieved all
UISmeltNoMaterials	Missing the materials needed for smelting!
#画面提示	
UIMouseHint	Display the mouse：{0}
#SkillTip	
SkillTipCondition	Training Requirements
SkillTipAffectedSkill	Impact on Techniques
SkillTipSkillAction	Additional effect
SkillTipNeedWeapon	Equipment needed
SkillTipNeedExp	Experience
SkillTipNeedSkill	Wuxia
SkillTipNeedTalent	Insight
SkillTipNotTalent	Resistance
SkillTipNeedInventory	Item
SkillTipSwitchApCost	Switching requires effort
SkillTipApCost	Exhaust energy
SkillTipManaCost	Drain internal energy
SkillTipSelector	Attack range
SkillTipIsCounter	Counterattack
SkillTipAttack	Basic Damage
SkillTipSingleRange	{0}
SkillTipMultiRange	{0}-{1}
SkillTipSelectorRange	Effective Range
SkillTipBuffer	Effectiveness
SkillTipBuffer2	Effectiveness
SkillTipNeedInventoryValue	{0} {1}x
SkillTipNeedTypeTalentValue	{0} comprehend a point of {1}
#成就界面	
UIAchievementRewardMsg	Are you sure you want to claim the reward?
UIAchievementRewardTitle	Reward:
UIAchievementCanReward	(Reward Claimable)
UIAchievementRewarded	Completed
UIAchievementProgressTitle	Progress:
#战斗界面	
UIBattleGetInventory	Obtain item
UIBattleGetSkill	Capable of learning new skills
#战斗跳的讯息	
CaptureSuccess	Successfully Tamed
CaptureFailure	Failed to Tame
CannotCapture	This target cannot be tamed
PetRemoved	Turn limit reached for character introduction
#范围选择	
UnitSelector	Single
CircleSelector	Area
SegmentSelector	Semi-circular
RectangleSelector	Rectangle
#阵营单位	
Affected0	Teammate
Affected1	We side
Affected2	Adversary
#Mod模块	
CurrentMod	Currently module
ModUpload	Upload module
ModUploadCheck	Shall we upload the {0} module?
ModUploading	Module {0} is uploading
ModUploadFinish	Upload completed
ModUploadFailure	Upload failed
ModUpdating	Updating
ModApply	Apply in progress
ModApplyCheck	Should the {0} module be applied?
IsRemoteMod	Remote
#战斗	
CurrentTurn	Turn {0}
BattleInfoApRecovery	Recover energy each turn
BattleInfoCountAttackSkill	Counterattack Technique
Critical	Critical hit
Release	Release pressure
Combo	Combo Attack
CounterAttack	Counterattack
Trick	Feigned move
NoEquip	Not equipped
MinorWeapon	Deputy
rate	Lead
value	Worth
KeepTurn	Held for {0} rounds
BeginUnitTalent	Accumulate {0} {1}% each round
AfterDamageTalent	Each time attacked, accumulate {0} {1}%
CriticalEffect	When activated, the current damage increases by {0}%
ReleaseEffect	When releasing energy, self-damage is reduced by {0} %
ComboEffect	Upon activating the combo, restore additional {0} points of energy
CounterAttackEffect	When counterattacking, use {0} to strike back at the enemy
TrickEffect	When a feint is executed, it randomly inflicts a negative status effect {0} points on the one hit
APRecovery	Recover energy
#异常状态TIP	
TipTurnLossHp	Each round loses lifeforce {0} points
TipTurnLossMp	Each round, lose {0} points of Qi
TipTurnLossAp	Energy recovery reduced by {0} points each round
TipAttackFall	Damage reduced by {0}% during attacks
TipIncreasedDamage	When attacked, damage increases by {0}%
TipAttackLossHp	Attacking will cause self to lose {0} points of lifeforce
TipBan	{0} unable to activate, accumulated value
TipZero	{0}'s value is 0
TipCramped	Every distance moved by the exertion of energy is reduced to {0}%
TipSealed	Maximum strength reduced by {0} points
TipFrozen	{0} reduced {1} by one point
TipDazed	At the start of each round, {0}% cannot take action
#按键TIP	
TipWaiting	Waiting<br>Consume {0} points of vitality
TipChangeSkill	Change shortcut
TipOpenInventory	Open Backpack<br>Change weapon consumes {0} points of stamina<br>Use the item to consume {1} points of energy
TipRest	End Action
TipFinish	End the fight
TipGameMenu	Game Selection Menu
#战斗讯息	
MsgBeginBattle	Combat {0} begins
MsgEndBattle	The battle with {0} has ended
MsgBeginTurn	Begin Round {0}
MsgEndTurn	End of Round {0}
MsgBeginUnit	{0} began to act
MsgEndUnit	{0} End Mission
MsgCounterAttackNotFound	{0} has no counterattack skills
MsgCounterAttack	{0} used {1} to counterattack
MsgCounterAttackFail	Counterattack failed
MsgPleaseSelectAvaliableTarget	Choose an effective target
MsgUnavaliableBlinkPosition	Cannot teleport to the vicinity of this target
MsgTargetTooFar	Too far from {0}
MsgUseSkill	{0} used the {1} skill
MsgUnitDead	{0} is dead
MsgReduceDueTo	{0} because of {1}, reducing {2} {3}
MsgAddDueTo	{0} because of {1}'s increase in {2} {3}
MsgAddProp	{0} {1} adds {2}
MsgSubProp	{0} {1} reduce {2}
MsgUnitDeadDueToInjured	{0} died from internal injuries
MsgRaiseComboAttack	{0} executes combo, +{1} AP
MsgUnitDodge	{0} dodged the attack
MsgResetRelease	{0} releases the energy to zero
MsgReceiveDamage	{0} dealt {2} points of damage to {1}
MsgReceiveCriticalDamage	{0} dealt a critical hit causing {2} damage to {1}
MsgReceiveHeal	{0} inflicted {2} points of healing upon {1}
MsgResetCounterAttack	{0} counterattack zero
MsgGainDebuffDueToTrick	{0} received a random negative status due to a feint
MsgGainProperty	{0} obtained the status value {1}: {2}
MsgCurrentProperty	{0} is currently {1}：{2}
MsgAPNotEnough	Low on energy
MsgMPNotEnough	Insufficient internal power
MsgLaunch	{0}
MsgHaveNot	{0} without {1}
#结局00	
Final00_00	Illusion
Final00_01	Accompanied by the broadcaster's indifferent voice,
Final00_02	The cold, large screen seemed like a diversion between major news broadcasts
Final00_03	They temporarily inserted a broadcast about your disappearance
Final00_04	No one knows you disappeared into some distant world
Final00_05	Even if your family and friends try every means to help,
Final00_06	After searching for years, there is still no news from you
Final00_07	Time flies like an arrow, and everything has changed as the stars shift
Final00_08	In the end, it was inevitable that people gradually forgot about your existence
Final00_09	What remains, perhaps, is only that when your name is mentioned,
Final00_10	A sigh was emitted
#结局01	
Final01_00	Like an arrow returning to its heart
Final01_01	Just as in every good story, there is virtue rewarded and vice punished
Final01_02	Even if it is according to custom, the evil intent from behind that reaches out to you in the end,
Final01_03	You cannot stop your determination to go home
Final01_04	This journey, although an unexpected interlude for you,
Final01_05	But it will awaken you at a future moment
Final01_06	Blaming the heavens and people, the fate of abandoning one's current life
Final01_07	How it will ultimately be
Final01_08	You shook your head, setting aside the heavy thoughts,
Final01_09	Looking at the friends who have fought alongside you on this journey,
Final01_10	Smiling, he waved goodbye
Final01_11	Though it is said that Jincheng is pleasant, there's no place like home
Final01_12	With a mix of excitement and apprehension in his heart,
Final01_13	You once again stepped through the doors of the Holy Sanctuary, which felt both familiar and strange
Final01_14	This time, what awaits you in front is,
Final01_15	It will be a warm home
Final01_16	Or perhaps it will be another new adventure?
#结局 02	
Final02_00	Heart of a Lifetime
Final02_01	You wake him up with a single palm strike, right in front of the one hunkered down in that illusion
Final02_02	Old man who constantly avoids reality
Final02_03	The illusory beauty he pursued could not free him from his bleak reality
Final02_04	That is your future you refuse to submit to
Final02_05	It is also a mirror that you cannot let go of
Final02_06	Life is full of beauty
Final02_07	But it will never appear in front of people who don't easily give up
Final02_08	You only need to do one thing
Final02_09	It's just about bringing the old man in front of us back
Final02_10	Rekindle our determination to strive for a beautiful life together
Final02_11	Return home, no matter how bitter reality is,
Final02_12	Go forward bravely, and write your own life story!
Final02_13	Who said life won't offer a second chance?
Final02_14	There's still a stream flowing in front of the door, why sing about gray hair and yellow chicken?
#结局 03	
Final03_00	See Nature, Understand Heart
Final03_01	Sacred Scriptures unite in harmony, advancing irresistibly
Final03_02	However, in an instant, all the top martial artists of Shu were defeated by you two
Final03_03	You coldly scanned the friends on the ground who had once stood with you in the same line-up
Final03_04	Limbs scattered here and there, the bodies were in pieces
Final03_05	Everyone is telling you about their past foolishness
Final03_06	It was you who told yourself
Final03_07	It should not be restricted by foolish humanity and morality anymore
Final03_08	Let the power that came into your hands slip away from before you
Final03_09	Looking back at the stranger yet familiar you, they exchanged smiles with each other
Final03_10	From now on, you two will walk together
Final03_11	Create an ideal future that belongs only to you
Final03_12	In that moment, you felt even more certain that you had chosen the right path
Final03_13	Exactly：When the tide came up the Zhejiang River, I finally knew who I was today!
#结局 04	
Final04_00	Wolf's Fierce Ambition
Final04_01	As the saying goes,：With nine words, he awakened the lost official; with one word, he startled a person in their dream
Final04_02	That one lying in the pool of blood, you, was right about something
Final04_03	Power should not be wasted
Final04_04	Therefore, it should be used to seize even greater power
Final04_05	'The future is said to be so ugly, why not let it be forgotten?'
Final04_06	Look at this heap of broken spears and shattered halberds, mountains of corpses and seas of blood,
Final04_07	This is the power you have to change the world
Final04_08	You will use this force to transform illusion into a brand-new future
Final04_09	No one can stop your desire and intention
Final04_10	That ideal realm hidden within your heart,
Final04_11	It is already within reach, just a spit away!
#结局 05	
Final05_00	Foot of the Blue Mountain
Final05_01	Duan Siping and the various tribes of Nanzhao formed a militia
Final05_02	With unstoppable momentum, they broke through to the capital of Nanzhao, Ercheng
Final05_03	Yang Tianyi fled in panic, not knowing where he ended up
Final05_04	Then Duan Siping ascended to the throne and established the Dai Kingdom
Final05_05	Committed to improving the living conditions of the various tribes of Nanzhao
Final05_06	Founded a strong and prosperous nation in the following centuries in Yunnan
Final05_07	Out of gratitude for the grace of Zen Master Jin Ding's transmission of skill
Final05_08	Duan Siping built Tianlong Temple in the city and decreed that the Duan family descendants would worship there for generations
Final05_09	Hearing the ill news of He Baishe's death,
Final05_10	He Yu die realized her past mistakes
Final05_11	Decide to delegate the authority and responsibility of leading the mountain stronghold to multiple people from the mountain stronghold clan
Final05_12	He Ziwang, in addition to being the successor tribal chief,
Final05_13	Finally, I also have the power to pursue freedom
Final05_14	During her leadership, Qingzhai served as the cornerstone supporting the Dali Kingdom
Final05_15	Continual prosperity and flourishing, moving toward a glorious future alongside the Dali Kingdom
Final05_16	Both looked out over this hard-won achievement from afar on the Blue Mountain
Final05_17	I imagine that person who once played an important role in the journey, a visitor from afar
Final05_18	Wondering where he might be now?
Final05_19	Will there ever be a day when we can reminisce over old times, sharing the lamp under the western window again?
#结局 06	
Final06_00	White Horse Leisurely Mood
Final06_01	The chaotic world remains so, yet the people of White Horse Residence seem oblivious
Final06_02	Working hard with laughter, from sunrise to sunset
Final06_03	Qi Xiao'er suddenly left her sect and was also at a loss
Final06_04	Daytime appears stubborn, but at night silently feels heartbroken
Final06_05	Fortunately, Li Tan took good care of her and traveled the world with Qi Xiao'er
Final06_06	They had also sneaked back some letters left by the Pointed Sword Sect
Final06_07	Knelt and asked the master not to remember nor be concerned
Final06_08	Finally return to the White Horse Residence to settle down and marry, spending a lifetime together
#结局 07	
Final07_00	Snowy Mountain Divine Eagle
Final07_01	Mu Household, though it has experienced a political upheaval and countless sacrifices,
Final07_02	However, it has made them more united and there are no longer factional disputes
Final07_03	Led by Mu Chu's wood residence,
Final07_04	It brought a period of stability and peace to Dayan Town
Final07_05	Ade Ake, however, did not forget his ideals. After settling the settlement,
Final07_06	Then they got on board the ship and crossed over to the other side of the lake, heading eastward on their journey
Final07_07	Several years later, the rumors about Dayan Town spread like this:
Final07_08	In the distant East, a traveler from afar appears in the martial world, accompanied by an eagle
Final07_09	With masterful archery skills, he wiped out the bandit lair and restored peace
Final07_10	The name Snowy Mountain Divine Eagle quickly spread throughout the entire Wulin
Final07_11	Several seasons of cold and heat, after enduring the winds and frosts, Ade Ake finally returned from his journey
Final07_12	Received the enthusiastic support from all the town's residents
Final07_13	He passed his falconry skills on to the town residents and guards
Final07_14	Dayan Town has become a beautiful town where Confucianism and eagle hunting traditions have blended
Final07_15	Every time they visited Mu Kui's tomb, Ade Ake could not help but think back
Final07_16	The name of the former comrade who fought alongside them, once a stranger from beyond the heavens
Final07_17	Where are we now?
Final07_18	Perhaps there will be no more days to meet in the future, but the journey we have experienced together,
Final07_19	Ade Ake, however, had not forgotten
#结局 08	
Final08_00	The tune ends gracefully
Final08_01	The rise and fall of the Jianghu, yet Charming Dream Hall always manages to skillfully navigate among various factions
Final08_02	Feather Xiangdie led her sisters through one challenge after another, facing those who coveted them
Final08_03	And with the financial support of Su Qingrui,
Final08_04	Further expand the scope of intelligence to cover all of Western River
Final08_05	Su Qingrui, after the Jingtairen incident,
Final08_06	'Painfully aware, the Su Clan mustered its strength and revived itself. '
Final08_07	And broadly accept virtuous and talented individuals, carefully manage the force
Final08_08	Reliant on the Charming Dream Hall's intelligence network,
Final08_09	Deploy forces to support all righteous factions in Western River
Final08_10	Finally becoming someone in the Jianghu who, upon being mentioned,
Final08_11	So everyone raised their thumbs and shouted in approval for Little Mengchang, the great hero Su
#结局 09	
Final09_00	Swift as the stars in motion
Final09_01	The case at the Leisurely Scholars Academy occurred, and all the books in the academy were destroyed
Final09_02	Countless precious martial arts manuals were lost as a result
Final09_03	But with the lack of covert provocations from the Imperial Guards,
Final09_04	The blood and wind of the Jianghu has finally lessened by a bit
Final09_05	Several months later, a mysterious female swordsman with exquisite sword skills suddenly appeared
Final09_06	This female swordswoman wandered alone, heading northward
Final09_07	A sword technique so exquisite at the tip that none in the world can rival it
Final09_08	Every time someone asked her about the purpose of her journey,
Final09_09	She only smiled and did not speak
Final09_10	But just as her fame reached its peak,
Final09_11	She disappeared beyond the Great Wall, never to be seen again
Final09_12	Decades later, the Jianghu still whispered of that one who appeared like a shooting star
Final09_13	The story of the female swordsman who vanished like a shooting star
Final09_14	Looking out over the vast grassland where my mother was born,
Final09_15	Yan Yushu finally fulfilled a wish from his heart
Final09_16	Next, she wanted to see what this world was like
Final09_17	Maybe there is another gate to the Holy Sanctuary somewhere
Final09_18	It can lead to the place where he is
#结局 10	
Final10_00	Moon sets, stars disappear
Final10_01	The upheaval over the Heavenly Scriptures came to an end,
Final10_02	Yan Yushu and Dongfang Chi quietly left the Leisurely Scholars Academy
Final10_03	Although Emperor Zhu Yuanzhang had dispatched people to search, they always ended up with nothing
Final10_04	Several months later, a mysterious and exceptionally skilled female swordsman appeared
Final10_05	This woman swordsman walked alone on her way north
Final10_06	A sword technique so exquisite at its peak that no one in the world can rival it
Final10_07	Whenever she was asked about the purpose of her journey,
Final10_08	She only smiled and said nothing
Final10_09	But just as her reputation reached its peak
Final10_10	She disappeared beyond the Great Wall and never resurfaced
Final10_11	Decades later, the Jianghu still whispered tales of that individual who had appeared like a shooting star
Final10_12	Like a meteor, the story of the female swordsman who disappeared
Final10_13	Looking out over the vast grasslands where Mother was born,
Final10_14	Yan Yushu finally fulfilled a wish in her heart
Final10_15	Now, her mind was filled with only one thought
Final10_16	Will there be a day when we can meet again in the next life?
#结局 11	
Final11_00	Lean on the saddle, think of the horse
Final11_01	Regarding He Yuqing's death, He Yuqing felt extremely guilty
Final11_02	Therefore, she put aside her previous stubborn and capricious nature
Final11_03	Leading the He Family Horse Gang,
Final11_04	Time and time again, they faced off against the assaults of impoverished mountains and treacherous waters, as well as bandits
Final11_05	Although the He Family Horse Gang is no longer unrivaled,
Final11_06	But He Yuqing, with her mastery of blade arts and resilient character,
Final11_07	Still became one of the most respected figures in the martial arts world of Tian Nan
Final11_08	He Yuqing has always regarded protecting the He Family Horse Gang as her own responsibility
Final11_09	However, the old generation of members of the gang often said this:
Final11_10	Ayu is no longer the Ayu she used to be
Final11_11	Young gang members have always not known what this means
Final11_12	Perhaps He Yuqing herself doesn't know
Final11_13	Her eyes twinkled with a sense of desolation
Final11_14	Is it because the responsibility on your shoulders is too heavy? Do you feel guilty about your father's death?
Final11_15	Or perhaps, deep within her heart, there are other desires hidden?
#结局 12	
Final12_00	Chasing the Sun's Shadow
Final12_01	Yellow Shang exerted all his might
Final12_02	Still unable to stop that mastermind who had been running amok, the outsider from beyond the skies
Final12_03	He could only watch helplessly as he entered the Holy Sanctuary
Final12_04	Vanished into the void
Final12_05	Reform oneself and atone for sins through good deeds?
Final12_06	When that self-righteous and righteous outsider spat out those hypocritical words,
Final12_07	As he trampled upon the dignity of his deceased wife and children at the same time,
Final12_08	He also became one of Huang Shang's enemies
Final12_09	Day after day, year after year,
Final12_10	No matter how much the Heluo Clan tried to persuade him, he showed no sign of softening
Final12_11	He wiped out all the remnants of the Merciless Hall from that year
Final12_12	Embark on the pursuit to find the newly revealed location of the Holy Sanctuary
Final12_13	Regardless of where that outsider from beyond the heavens flees to,
Final12_14	For the suffering of his deceased wife and children,
Final12_15	Also because his vengeful fire could not be quelled,
Final12_16	As long as he is still breathing,
Final12_17	It will be like a shadow, following closely and killing swiftly
#结局 13	
Final13_00	Savior Medicine King
Final13_01	Ceng Yanhua and Du Jinping broke their bond of gratitude and severed their ties
Final13_02	Retired to the Flower and Herb Stall with his daughter
Final13_03	Assist Chen Zhiji in treating the impoverished common people
Final13_04	However, Cheng Yanhua was as still and deep as a lake, not wanting to create more waves
Final13_05	Therefore, all external matters were taken on by Chen Zhiji
Final13_06	As time passed, Cheng Niangzi's name gradually faded from the public eye
Final13_07	Feifei is clever and eager to learn; she studies medical and toxicology techniques under Chen Zhiji
Final13_08	Understanding is more advanced by ten times compared to its mother
Final13_09	And after Chen Zhiji passed away, succeed his mantle,
Final13_10	On the path to becoming the heir of the new generation of the King of Medicine
Final13_11	Shi Hongtu passed through this encounter, temporarily hiding his whereabouts in the Jianghu
Final13_12	Wait for the right moment, and strike again
#结局 14	
Final14_00	Brutal and Poisonous
Final14_01	Under Feng Qiu Xiang's covert operations, Cheng Yanhua ultimately died violently in the Du Mansion
Final14_02	Lu Junpeng was heartbroken and could not be consoled, yet he dared not speak up
Final14_03	Channel all the anger into the Flower and Herb Stall
Final14_04	Shi Hongtu had always been unable to find the Elixir King's Divine Chapter
Final14_05	His temperament became increasingly tyrannical, and the title Poison King spread far and wide without him having to leave his home
Final14_06	After her mother's death, Du Yufei inherited the Immortal Classic of Medicine
Final14_07	Endured humiliation for two years, ultimately using a scheme to poison the entire Du family
Final14_08	After ten years,
Final14_09	The area where the flower and herb stall used to be has unexpectedly produced an additional small flower garden
Final14_10	The name of the Medicine King rises again
#结局 15	
Final15_00	Rebuild a heavenly family
Final15_01	Looking back on the past, Situ Jing had a life full of hardships
Final15_02	As a child entering the palace, (he/she) suffered much oppression
Final15_03	After being exiled from the palace, he was also looked down upon due to his eunuch status
Final15_04	Devotedly practicing poison skills, constantly harboring thoughts of revenge day and night, never having a moment's peace due to anger
Final15_05	After experiencing the head-on scolding at the winery,
Final15_06	Reflecting deeply on their pain, they left the winery after saying goodbye to Xiao Rongxiu
Final15_07	One Lifetime Prosperity's Elder Chen saw Rong Xiu as intelligent and kind
Final15_08	Upon understanding that Third Uncle Chen Zhiqi wished to travel the world and had no intention of inheriting the winery,
Final15_09	Pass all brewing techniques to Rong Xiu
Final15_10	And on the day of his passing, he established the rule for the winery to pass merit, not lineage
Final15_11	Break the outdated rule controlled by the descendants of the Chen family at Lifetime Prosperity
Final15_12	Pass the winery to Yan Rongxiu for inheritance
Final15_13	After Rong Xiucheng grew up, he searched for several years,
Final15_14	Finally found the reclusive Situ Jing
Final15_15	Settle near the winery
Final15_16	Every day, respectfully bow before you; serve by your side with filial piety, and nourish a long life
#结局 16	
Final16_00	Never recover or return
Final16_01	Situ Jing, accompanied by Yan Rongxiao, drifted aimlessly through the world
Final16_02	And transmitted to Rong Xiu all the nefarious sect martial arts I possess
Final16_03	Long ago, the assassins who participated in the killing of Yan Baochuan were all identified
Final16_04	And with the Venomous Serpent Blood Technique, they subjected him to torture by death through slow slicing
Final16_05	Yan Rongxiu, having been immersed in such an environment from a young age, became a master of the dark path after reaching adulthood
Final16_06	Slaughter, burn, plunder—upon hearing these words, anyone in the wulin turns pale
Final16_07	Looking back, Situ Jing had a life full of hardships
Final16_08	As a young child entering the palace, suffered endless oppression, and after being expelled from the palace, was further subjected to humiliation due to being castrated
Final16_09	After acquiring the skills of a nefarious sect, he spent his days daydreaming about revenge
Final16_10	Indignant and without a moment's peace each day
Final16_11	Because when I was young, I rushed to train
Final16_12	But he cunningly used unconventional and illicit methods to forcefully cultivate the Corpse Python Poison Blood Technique
Final16_13	Ultimately suffering from the backlash of his martial arts, he died with his internal organs rotting away
Final16_14	After moaning for seventy-seven forty-nine days,
Final16_15	Collapsed from the Qi in a secluded alley house in Xichuan
#结局 17	
Final17_00	Great Way and Sincere Heart
Final17_01	In the turmoil caused by Zhan Yinfei's uprising,
Final17_02	Wang Zhe saw his sworn brother Li Yanshan and his sworn sister Bai Lushuang
Final17_03	They both sacrificed themselves to thwart the Merciless Hall
Final17_04	In his grief, he resolved to carry on his elder brother's legacy
Final17_05	Defend the country and protect the family from external threats for a lifetime
Final17_06	After once again ascending to the Heaven's Pillar Fort, Wang Zhe took over as the chief of the fort
Final17_07	Lead the forces of Heaven's Pillar Fort to resist the wolf savages
Final17_08	Leading an expedition during the journey,
Final17_09	Wang Zhe once again encountered the Daoist Pure Yang from Dragon's Rest Village
Final17_10	Every time they met, Zunyangzi would always give guidance from the side
Final17_11	Guide Wang Zhe to understand the profound Daoist meanings in Taiqing Gang Qi
Final17_12	Wang Zhe is of high aptitude in both martial arts and Daoist studies
Final17_13	Despite being concerned with national affairs and devoting oneself to military service, at the time nearing one's destined path in life,
Final17_14	He finally mastered the deepest secret technique of Ta Qing Gang Qi
Final17_15	Several years later, he established the Quanzhen Sect and pioneered unparalleled martial arts
Final17_16	Revered by the world as Zhongyuan Zhenren
Final17_17	However, every time he heard about external enemies invading,
Final17_18	Wang Zhe would always think of his sworn brother's last words
Final17_19	Remembering how our sworn brother defended the country with a heart that places personal life and death as secondary, possessing such breadth of spirit and demeanor
#结局 18	
Final18_00	Stop Clouds, Fall Moon
Final18_01	In the vast and tumultuous adventures of Shu, after their conclusion,
Final18_02	Li Junbao said goodbye to two friends one after another
Final18_03	Embarking once again on the journey to roam the skies and wander the world
Final18_04	Years ago, the three people who swore with their lives that they would meet again parted ways and went to different corners of the world
Final18_05	Thirty years ago, a great plague struck Shu
Final18_06	Zhang Sanfeng traveled all the way from Central Plains to Western River
Final18_07	Just in time to see your old friend one last time
Final18_08	Now he is also nearly a hundred years old, and although his refined internal cultivation has reached an extraordinary level,
Final18_09	But in recent years, he has gradually felt a sense of being unable to keep up
Final18_10	That night, Zhang Sanfeng sat alone in his room when he suddenly felt something stir within his heart
Final18_11	Look towards the holy sanctuary where the heavenly guest departed long ago
Final18_12	“You, if you don’t come soon, old friends won't be waiting for you.”
#结局 19	
Final19_00	Dark Ghosts of the Underworld
Final19_01	Since that day when he threw the man into the nameless deep ravine,
Final19_02	Master Bai Sun the Daoist nun always had a thorn in her heart
Final19_03	She did not hear the sound of that person landing
Final19_04	Several times at night, she seemed to have returned to the edge of that thousand-foot deep gorge
Final19_05	Looking at that cheerful yet annoying face, it disappeared from sight
Final19_06	But no matter how focused or careful she was,
Final19_07	She still could not hear the beautiful sound of that long-desired landing
Final19_08	Only the howling wind in the barren valley mocked her, echoing silently
Final19_09	For years, she trained hard in martial arts to remove the thorn from her heart
Final19_10	The martial arts of our school have been elevated to a level beyond the imagination of those before us
Final19_11	The two new disciples were relentlessly flattering and fawning
Final19_12	But she herself knew that the person was a true genius in martial arts
Final19_13	She will never have a day where she surpasses him
Final19_14	The wind whispers around my ears are becoming clearer and clearer; it's definitely his voice
Final19_15	I will come find you
#结局 20	
Final20_00	Magpies' Bridge Starlight
Final20_01	That day, she leaped recklessly into the Holy Sanctuary
Final20_02	He who changed your life forever
Final20_03	It's finally your turn as well
Final20_04	The taste of having a simple life disrupted by an outsider from the heavens is like everything being thrown into chaos
Final20_05	A statusless otherworldly woman, living a life of adventure every day here
Final20_06	An individual who has returned to reality after being missing finds they can no longer lead an ordinary life
Final20_07	Despite this, she is also the only proof of your adventure in another world
Final20_08	After those strange days roaming the Jianghu with swords at our sides,
Final20_09	The Wuxia world has long been another hometown for you
Final20_10	Whenever you recall those moments that are unforgettable and deeply moving,
Final20_11	Or it could be remembering someone who once shared life and death with them
Final20_12	She thought that the phone and computer were some sort of sorcery or dark magic
Final20_13	You have become the only one to whom I can freely confide
Final20_14	Every morning when you hear her scream again,
